Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;U KOJIM VELIČINAMA;Naziv proizvoda;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA
JO235;jo235;;JO235-CRNA NG;Default;Eyewear;CRNA NG;;M;Dioptrijski okvir;JOHN LENNON;;Nepravilan;CRNA NG;Metal;190;47;42;23;145;135;JO235
JO235-M-CRNA-NG;jo235-m-crna-ng;CRNA NG;JO235-CRNA NG;Default;Eyewear;CRNA NG;crna;M;Dioptrijski okvir;JOHN LENNON;;Nepravilan;CRNA NG;Metal;190;47;42;23;145;135;JO235
JO256;jo256;;JO256-ZELENA EG;Default;Eyewear;ZELENA EG;;M;Dioptrijski okvir;JOHN LENNON;;Okrugao;ZELENA EG;Metal;180;48;45;22;145;132;JO256
JO256-M-ZELENA-EG;jo256-m-zelena-eg;ZELENA EG;JO256-ZELENA EG;Default;Eyewear;ZELENA EG;zelena;M;Dioptrijski okvir;JOHN LENNON;;Okrugao;ZELENA EG;Metal;180;48;45;22;145;132;JO256
JO184;jo184;;JO184-PROZIRNA GN;Default;Eyewear;PROZIRNA GN;;M;Dioptrijski okvir;JOHN LENNON;;Okrugao;PROZIRNA GN;Acetat;190;42;44;28;142;137;JO184
JO184-M-PROZIRNA-GN;jo184-m-prozirna-gn;PROZIRNA GN;JO184-PROZIRNA GN;Default;Eyewear;PROZIRNA GN;prozirna;M;Dioptrijski okvir;JOHN LENNON;;Okrugao;PROZIRNA GN;Acetat;190;42;44;28;142;137;JO184
JO261;jo261;;JO261-PLAVA NB,JO261-ZELENA GB;Default;Eyewear;PLAVA NB, ZELENA GB;;M;Dioptrijski okvir;JOHN LENNON;;Nepravilan;PLAVA NB, ZELENA GB;Titan;205;48;47;22;145;135;JO261
JO261-M-PLAVA-NB;jo261-m-plava-nb;PLAVA NB;JO261-PLAVA NB;Default;Eyewear;PLAVA NB;plava;M;Dioptrijski okvir;JOHN LENNON;;Nepravilan;PLAVA NB, ZELENA GB;Titan;205;48;47;22;145;135;JO261
JO261-M-ZELENA-GB;jo261-m-zelena-gb;ZELENA GB;JO261-ZELENA GB;Default;Eyewear;ZELENA GB;zelena;M;Dioptrijski okvir;JOHN LENNON;;Nepravilan;PLAVA NB, ZELENA GB;Titan;205;48;47;22;145;135;JO261
JO167;jo167;;JO167-ZELENA EG;Default;Eyewear;ZELENA EG;;S;Dioptrijski okvir;JOHN LENNON;;Okrugao;ZELENA EG;Metal;195;43;43;23;140;127;JO167
JO167-S-ZELENA-EG;jo167-s-zelena-eg;ZELENA EG;JO167-ZELENA EG;Default;Eyewear;ZELENA EG;zelena;S;Dioptrijski okvir;JOHN LENNON;;Okrugao;ZELENA EG;Metal;195;43;43;23;140;127;JO167
JO239;jo239;;JO239-SIVA IC;Default;Eyewear;SIVA IC;;S;Dioptrijski okvir;JOHN LENNON;;Okrugao;SIVA IC;Acetat;185;42;43;21;145;127;JO239
JO239-S-SIVA-IC;jo239-s-siva-ic;SIVA IC;JO239-SIVA IC;Default;Eyewear;SIVA IC;siva;S;Dioptrijski okvir;JOHN LENNON;;Okrugao;SIVA IC;Acetat;185;42;43;21;145;127;JO239
